
Aardwolf	Proteles cristatus
Admiral, indian red	Vanessa indica
Adouri (unidentified)	unavailable
African black crake	Limnocorax flavirostra
African buffalo	Snycerus caffer
African bush squirrel	Paraxerus cepapi
African clawless otter	Aonyx capensis
African darter	Anhinga rufa
African elephant	Loxodonta africana
African fish eagle	Haliaetus vocifer
African ground squirrel (unidentified)	Xerus sp.
African jacana	Actophilornis africanus
African lion	Panthera leo
African lynx	Felis caracal
African pied wagtail	Motacilla aguimp
African polecat	Ictonyx striatus
African porcupine	Hystrix cristata
African red-eyed bulbul	Pycnonotus nigricans
African skink	Mabuya spilogaster
African snake (unidentified)	unavailable
African wild cat	Felis silvestris lybica
African wild dog	Lycaon pictus
Agama lizard (unidentified)	Agama sp.
Agile wallaby	Macropus agilis
Agouti	Dasyprocta leporina
Albatross, galapagos	Diomedea irrorata
Albatross, waved	Diomedea irrorata
Alligator, american	Alligator mississippiensis
Alligator, mississippi	Alligator mississippiensis
Alpaca	Lama pacos
Amazon parrot (unidentified)	Amazona sp.
American Virginia opossum	Didelphis virginiana
American alligator	Alligator mississippiensis
American badger	Taxidea taxus
American beaver	Castor canadensis
American bighorn sheep	Ovis canadensis
American bison	Bison bison
American black bear	Ursus americanus
American buffalo	Bison bison
American crow	Corvus brachyrhynchos
American marten	Martes americana
American racer	Coluber constrictor
American woodcock	Scolopax minor
Anaconda (unidentified)	Eunectes sp.
Andean goose	Chloephaga melanoptera
Ant (unidentified)	unavailable
Anteater, australian spiny	Tachyglossus aculeatus
Anteater, giant	Myrmecophaga tridactyla
Antechinus, brown	Antechinus flavipes
Antelope ground squirrel	Ammospermophilus nelsoni
Antelope, four-horned	Tetracerus quadricornis
Antelope, roan	Hippotragus equinus
Antelope, sable	Hippotragus niger
Arboral spiny rat	Echimys chrysurus
Arctic fox	Alopex lagopus
Arctic ground squirrel	Spermophilus parryii
Arctic hare	Lepus arcticus
Arctic lemming	Dicrostonyx groenlandicus
Arctic tern	Sterna paradisaea
Argalis	Ovis ammon
Armadillo, common long-nosed	Dasypus novemcinctus
Armadillo, giant	Priodontes maximus
Armadillo, nine-banded	Dasypus novemcinctus
Armadillo, seven-banded	Dasypus septemcincus
Asian elephant	Elephas maximus bengalensis
Asian false vampire bat	Megaderma spasma
Asian foreset tortoise	Manouria emys
Asian lion	Panthera leo persica
Asian openbill	Anastomus oscitans
Asian red fox	Vulpes vulpes
Asian water buffalo	Bubalus arnee
Asian water dragon	Physignathus cocincinus
Asiatic jackal	Canis aureus
Asiatic wild ass	Equus hemionus
Ass, asiatic wild	Equus hemionus
Australian brush turkey	Alectura lathami
Australian magpie	Gymnorhina tibicen
Australian masked owl	Tyto novaehollandiae
Australian pelican	Pelecanus conspicillatus
Australian sea lion	Neophoca cinerea
Australian spiny anteater	Tachyglossus aculeatus
Avocet, pied	Recurvirostra avosetta
Azara's zorro	Pseudalopex gymnocercus



Baboon, chacma	Papio ursinus
Baboon, gelada	Theropithecus gelada
Baboon, olive	Papio cynocephalus
Baboon, savanna	Papio cynocephalus
Baboon, yellow	Papio cynocephalus
Badger, american	Taxidea taxus
Badger, eurasian	Meles meles
Badger, european	Meles meles
Badger, honey	Mellivora capensis
Bahama pintail	Anas bahamensis
Bald eagle	Haliaeetus leucocephalus
Baleen whale	Eubalaena australis
Banded mongoose	Mungos mungo
Bandicoot, long-nosed	Perameles nasuta
Bandicoot, short-nosed	Isoodon obesulus
Bandicoot, southern brown	Isoodon obesulus
Barasingha deer	Cervus duvauceli
Barbet, black-collared	Lybius torquatus
Barbet, crested	Trachyphonus vaillantii
Barbet, levaillant's	Trachyphonus vaillantii
Bare-faced go away bird	Lorythaixoides concolor
Barking gecko	Phylurus milli
Barrows goldeneye	Bucephala clangula
Bat, asian false vampire	Megaderma spasma
Bat, little brown	Myotis lucifugus
Bat, madagascar fruit	Pteropus rufus
Bat-eared fox	Otocyon megalotis
Bateleur eagle	Terathopius ecaudatus
Bear, american black	Ursus americanus
Bear, black	Ursus americanus
Bear, grizzly	Ursus arctos
Bear, polar	Ursus maritimus
Bear, sloth	Melursus ursinus
Beaver, american	Castor canadensis
Beaver, eurasian	Castor fiber
Beaver, european	Castor fiber
Beaver, north american	Castor canadensis
Bee-eater (unidentified)	Merops sp.
Bee-eater, carmine	Merops nubicus
Bee-eater, nubian	Merops nubicus
Bee-eater, white-fronted	Merops bullockoides
Beisa oryx	Oryx gazella
Bengal vulture	Gyps bengalensis
Bennett's wallaby	Macropus rufogriseus
Bent-toed gecko	Cyrtodactylus louisiadensis
Bettong, brush-tailed	Bettongia penicillata
Bird (unidentified)	unavailable
Bird, bare-faced go away	Lorythaixoides concolor
Bird, black-throated butcher	Cracticus nigroagularis
Bird, magnificent frigate	Fregata magnificans
Bird, pied butcher	Cracticus nigroagularis
Bird, red-billed tropic	Phaethon aethereus
Bird, secretary	Sagittarius serpentarius
Bison, american	Bison bison
Black and white colobus	Colobus guerza
Black bear	Ursus americanus
Black curlew	Haematopus ater
Black kite	Milvus migrans
Black rhinoceros	Diceros bicornis
Black spider monkey	Ateles paniscus
Black swan	Cygnus atratus
Black vulture	Aegypius tracheliotus
Black-backed jackal	Canis mesomelas
